URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,in_sigmet,Plane Weight
F,E75L,PRB UA /OV AVE280020 /TM 1309 /FL290 /TP E75L /TB LGT CHOP 290 /RM TOPS AROUDN FL270 ZLAWC AWC-WEB,LGT CHOP 290,,29000.0,35.70788741439446,-120.38401044764046,2017-05-07 13:09:00+00:00,1.0,0,U
F,E145,LGA UA /OV RBV040010/TM 1450/FL100/TP E145/TB SEV 100-070/RM MULTIPLE REPORTS,SEV 100-070,,10000.0,40.32768441546349,-74.35972701885603,2017-05-05 14:50:00+00:00,5.0,0,M
T,C172,1H2 UUA /OV BIB 080045/TM 1453/FL050/TP C172/TB SEV-EXTRM/RM CWSU ZKC,SEV-EXTRM,,5000.0,39.050246682387545,-87.5305874674739,2017-05-17 14:53:00+00:00,6.0,0,L
F,A321,CDC UA /OV TCH180022/TM 0545/FL120/TP A321/TB LGT TURB/RM 120-090,LGT TURB,,12000.0,40.48330363330364,-111.98,2017-05-17 05:45:00+00:00,1.0,0,M
F,DH8C,UUA /OV 4706N05745W /TM 1955 /FL200 /TP DH8C /TB SEV/RM,SEV,,20000.0,47.1,-57.75,2017-05-17 19:55:00+00:00,5.0,0,M
F,CRJ7,CLT UA /OV CLT090010/TM 2112/FL100/TP CRJ7/TB MOD/RM STARTS AT TEN THOUSAND AND GOES ALL THE WAY UP  REPORTED AS EVEN WORSE THAN MODERATE. ZTLFD,MOD,,10000.0,35.22255,-80.75027462154718,2017-05-24 21:12:00+00:00,3.0,1,M
F,A306,66R UA /OV IDU225035 /TM 1131 /FL340 /TP A306 /TB MOD CHOP /RM FM ZHU AWC-WEB:,MOD CHOP,,34000.0,29.547487633479022,-97.03613645309126,2017-05-04 11:31:00+00:00,3.0,0,H
F,B787,UUA /OV CYQM /TM 2150 /FL400 /TP B787 /TB SEV /RM DECENDED TO F380 NIL TB,SEV,,40000.0,46.10389,-64.68778,2017-05-05 21:50:00+00:00,5.0,0,U
F,B77W,UUA /OV CYHZ /TM 2348 /FL330 /TP B77W /TB MDT-SEV /RM CLIMB TO FL350 MDT TB  E BOUND  COORD 4405N 5953W,MDT-SEV,,33000.0,44.88083,-63.50861,2017-05-24 23:48:00+00:00,5.0,0,U
F,C172,SQI UA /OV C77-SQI /TM 0330 /FL045 /TP C172 /TB NEG /RM SMOOTH,NEG,,4500.0,42.031415,-89.25315499999999,2017-05-05 03:30:00+00:00,0.0,0,L
T,E145,UCA UUA /OV 20NNE DNY/TM 0302/FL270/TP E145/TB MOD-SEV FL270 WITH 200FT DEVIATIONS,MOD-SEV FL270 WITH 200FT DEVIATIONS,,27000.0,42.487984788942754,-74.78784782969396,2017-05-26 03:02:00+00:00,4.0,0,M
T,B77W,RHI UUA /OV RHI180030/TM 1404/FL310/TP B77W/TB SEV CAT 310-370,SEV CAT 310-370,,31000.0,45.1311494999595,-89.46747,2017-05-03 14:04:00+00:00,5.0,0,U
F,C182,TRI UA /OV HMV140030/TM 1731/FL080/TP C182/TB SEV 080/RM NO DAMAGE NO INJURIESZTLFD,SEV 080,,8000.0,36.05694675360954,-81.73046227281034,2017-05-02 17:31:00+00:00,5.0,0,L
F,BE36,RHP UA /OV HRS190020/TM 1921/FL090/TP BE36/TB SEV/RM NO DAMAGE NO INJURIES/ZTLFD,SEV,,9000.0,34.611704159160006,-83.99061574383975,2017-05-06 19:21:00+00:00,5.0,0,L
F,C152,MLB UA /OV MLB235015 /TM 1712 /FL025 /TP C152 /TA 21 /TB NEG /RM SMOOTH,NEG,,2500.0,27.959344275977788,-80.87743731583055,2017-05-27 17:12:00+00:00,0.0,0,L
T,C208,GAG UUA /OV MMB150040/TM 2233/FL060/TP C208/TB SEV/RM CWSU ZKC,SEV,,6000.0,35.76260296539181,-99.46615243256392,2017-05-10 22:33:00+00:00,5.0,0,L
